SYMBOL,EXCHANGE,SERIES,ISIN,DATE,CMP,OPEN,HIGH,LOW,PREV_CLOSE,CHANGE_PCT,VWAP,VOLUME,TURNOVER,AVG_VOL_20D,VOL_SPIKE_RATIO,DELIV_PER,EMA_50,EMA_200,DIST_FROM_EMA50_PCT,DIST_FROM_EMA200_PCT,EMA_GOLDEN_CROSS,RSI_14,HIGH_52W,LOW_52W,DIST_FROM_52W_HIGH_PCT,DIST_FROM_52W_LOW_PCT,DAYS_OF_HISTORY,RETURN_1D_PCT,RETURN_1W_PCT,RETURN_1M_PCT,RETURN_3M_PCT,RETURN_6M_PCT,RETURN_1Y_PCT,IS_SME
20MICRONS,NSE,EQ,INE144J01027,2026-07-22,211.15,209.96,211.62,205.1,211.01,0.07,209.4,201717,42238667.86,224067.0,0.9,,193.07,191.84,9.37,10.07,True,65.31,231.41,133.14,-8.76,58.59,215,0.07,3.29,12.07,19.0,10.76,,False
21STCENMGM,NSE,EQ,INE253B01015,2026-07-22,35.68,35.01,35.68,35.0,34.99,1.97,35.46,2373,84147.51,3159.0,0.75,,33.01,38.06,8.09,-6.26,False,71.1,53.99,28.6,-33.91,24.76,215,1.97,9.85,5.41,5.84,-21.06,,False
360ONE,NSE,EQ,INE466L01038,2026-07-22,1093.6,1114.0,1128.0,1087.8,1119.7,-2.33,1101.15,913719,1006138800.0,1496155.0,0.61,,1098.5,1088.08,-0.45,0.51,True,47.56,1200.1,929.25,-8.87,17.69,215,-2.33,-0.46,-4.0,-1.33,-3.8,,False
3BBLACKBIO,NSE,EQ,INE994E01018,2026-07-22,1289.6,1280.0,1295.0,1260.9,1272.1,1.38,1281.38,9511,12187228.8,12821.0,0.74,,1225.72,1266.81,5.21,1.8,False,62.12,1388.05,1102.8,-7.09,16.94,65,1.38,1.53,7.23,-7.09,,,False
3IINFO-RE,NSE,BE,INE748C20012,2025-10-20,1.28,1.54,1.54,1.21,1.51,-15.23,1.31,677228,884372.53,799281.0,0.85,,2.34,2.53,-45.27,-49.46,False,,2.61,1.28,-50.96,0.0,10,-15.23,-32.63,,,,,False
3IINFOLTD,NSE,EQ,INE748C01038,2026-07-22,19.97,19.2,20.14,19.08,19.12,4.45,19.68,2164128,42584636.35,547003.0,3.96,,17.63,17.67,13.26,13.01,False,75.93,25.02,12.72,-20.18,57.0,215,4.45,10.51,14.64,13.14,31.9,,False
3MINDIA,NSE,EQ,INE470A01017,2026-07-22,35725.0,35300.0,35975.0,35030.0,35170.0,1.58,35590.28,5695,202686670.0,5137.0,1.11,,33836.14,33028.23,5.58,8.17,True,60.73,37635.0,28835.0,-5.08,23.89,215,1.58,-0.57,7.2,13.11,2.09,,False
3PLAND,NSE,EQ,INE105C01023,2026-07-22,31.85,32.5,32.5,31.33,32.07,-0.69,31.61,2774,87683.1,3896.0,0.71,,32.45,35.56,-1.86,-10.44,False,46.82,46.29,28.72,-31.19,10.9,215,-0.69,-0.22,-2.63,-9.39,-15.09,,False
5PAISA,NSE,EQ,INE618L01018,2026-07-22,369.95,375.0,378.85,367.3,377.45,-1.99,372.04,49320,18349039.65,90584.0,0.54,,348.77,335.79,6.07,10.17,True,54.04,390.85,249.1,-5.35,48.51,215,-1.99,-5.35,9.52,13.62,3.73,,False
5PAISA-RE,NSE,BE,INE618L20018,2026-04-07,0.33,0.33,0.33,0.33,0.3,10.0,0.33,116095,38311.35,31536.0,3.68,,0.13,0.11,158.86,207.66,True,,0.33,0.1,0.0,230.0,6,10.0,230.0,,,,,False
