Average Market Capitalization of listed companies during the six months ended 30 June 2026,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,Reliance Industries Ltd,INE002A01018,RELIANCE,1873294.7184957801,RELIANCE,1873278.8316,-,,1873286.77504789,Large Cap
2,HDFC Bank Ltd.,INE040A01034,HDFCBANK,1286604.41447209,HDFCBANK,1286302.0509,-,,1286453.232686045,Large Cap
3,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,1113793.5644059698,BHARTIARTL,1119187.6484,-,,1116490.6064029848,Large Cap
4,State Bank Of India,INE062A01020,SBIN,975713.2013105439,SBIN,975713.9705,-,,975713.585905272,Large Cap
5,ICICI Bank Ltd.,INE090A01021,ICICIBANK,948884.551794921,ICICIBANK,948002.5099,-,,948443.5308474605,Large Cap
6,Tata Consultancy Services Ltd.,INE467B01029,TCS,934776.6288328089,TCS,934786.8801,-,,934781.7544664044,Large Cap
7,Bajaj Finance Limited,INE296A01032,BAJFINANCE,580386.210731946,BAJFINANCE,580280.713,-,,580333.461865973,Large Cap
8,Larsen & Toubro Limited,INE018A01030,LT,546367.520386706,LT,546381.8532,-,,546374.686793353,Large Cap
9,Infosys Ltd,INE009A01021,INFY,538050.4641869799,INFY,534465.1951,-,,536257.82964349,Large Cap
10,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,529065.100636142,HINDUNILVR,529080.373,-,,529072.736818071,Large Cap
11,LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,519005.06551954005,LICI,519014.553,-,,519009.80925977003,Large Cap
12,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,440752.492721209,MARUTI,440745.2484,-,,440748.8705606045,Large Cap
13,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,421545.703806292,SUNPHARMA,421567.553,-,,421556.628403146,Large Cap
14,Mahindra & Mahindra Ltd.,INE101A01026,M&M,406921.441965467,M&M,406923.7736,-,,406922.6077827335,Large Cap
